"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"AM Rahane (India)","41","70","47","4","0","87.23","1","","v England","Cardiff","27 Aug 2014",""
"Asghar Stanikzai (Afg)","41","-","67","3","1","61.19","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"CR Woakes (Eng)","41","65","49","4","0","83.67","2","","v Sri Lanka","Pallekele","13 Dec 2014",""
"L Ronchi (NZ)","41","56","40","6","0","102.50","2","","v Pakistan","Sharjah","14 Dec 2014",""
"CH Gayle (WI)","41","26","24","5","2","170.83","2","","v South Africa","Durban","16 Jan 2015",""
"SR Watson (Aus)","41","47","39","5","1","105.12","2","","v India","Melbourne","18 Jan 2015",""
"Asghar Stanikzai (Afg)","40","128","91","3","0","43.95","2","","v Pakistan","Fatullah","27 Feb 2014",""
"KC Sangakkara (SL)","40","83","67","2","0","59.70","1","","v England","Chester-le-Street","25 May 2014",""
"EJG Morgan (Eng)","40","85","58","3","2","68.96","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"TM Dilshan (SL)","40","80","46","5","0","86.95","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"Samiullah Shenwari (Afg)","40","67","60","2","0","66.66","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"F du Plessis (SA)","40","49","33","8","0","121.21","2","","v Zimbabwe","Bulawayo","21 Aug 2014",""
"LMP Simmons (WI)","40","70","61","3","0","65.57","1","","v Bangladesh","St George's","22 Aug 2014",""
"AD Hales (Eng)","40","94","63","5","0","63.49","2","","v India","Cardiff","27 Aug 2014",""
"V Kohli (India)","40","67","50","2","1","80.00","2","","v England","Nottingham","30 Aug 2014",""
"JH Davey (Scot)","40","-","69","4","0","57.97","1","","v Ireland","Dublin","10 Sep 2014",""
"KA Pollard (WI)","40","58","50","1","3","80.00","2","","v India","Delhi","11 Oct 2014",""
"DM Bravo (WI)","40","89","51","6","0","78.43","2","","v India","Dharamsala","17 Oct 2014",""
"SR Watson (Aus)","40","44","38","4","1","105.26","1","","v South Africa","Canberra","19 Nov 2014",""
"Tamim Iqbal (Ban)","40","108","63","2","1","63.49","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"Shakib Al Hasan (Ban)","40","49","33","4","0","121.21","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"AD Mathews (SL)","40","79","76","4","0","52.63","1","","v England","Pallekele","10 Dec 2014",""
"MN Samuels (WI)","40","67","48","3","1","83.33","2","","v South Africa","Johannesburg","18 Jan 2015",""
"JL Carter (WI)","40","54","39","3","1","102.56","2","","v South Africa","Johannesburg","18 Jan 2015",""
"CJ Anderson (NZ)","40","45","28","5","1","142.85","1","","v Sri Lanka","Dunedin","25 Jan 2015",""
"D Ramdin (WI)","40","65","40","1","2","100.00","2","","v South Africa","Centurion","28 Jan 2015",""
"SPD Smith (Aus)","40","73","50","5","0","80.00","1","","v England","Perth","1 Feb 2015",""
"BRM Taylor (Zim)","40","51","40","4","1","100.00","2","","v South Africa","Hamilton","15 Feb 2015",""
"E Chigumbura (Zim)","39*","81","60","4","0","65.00","2","","v Afghanistan","Bulawayo","18 Jul 2014",""
"SMA Priyanjan (SL)","39*","20","15","8","0","260.00","1","","v Pakistan","Hambantota","23 Aug 2014",""
"AD Mathews (SL)","39*","66","46","5","1","84.78","2","","v New Zealand","Hamilton","15 Jan 2015",""
"MJ Lumb (Eng)","39","82","60","3","0","65.00","2","","v West Indies","North Sound","2 Mar 2014",""
"Shamsur Rahman (Ban)","39","67","57","6","0","68.42","1","","v Sri Lanka","Dhaka","6 Mar 2014",""
"Amjad Ali (UAE)","39","-","64","4","0","60.93","2","","v Hong Kong","Kuala Lumpur","4 May 2014",""
"LD Chandimal (SL)","39","-","61","3","0","63.93","1","","v Ireland","Dublin","6 May 2014",""
"Nasir Jamal (Afg)","39","84","64","2","0","60.93","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"JP Faulkner (Aus)","39","75","37","4","0","105.40","1","","v South Africa","Harare","6 Sep 2014",""
"SR Thompson (Ire)","39","-","36","4","1","108.33","2","","v Scotland","Dublin","10 Sep 2014",""
"Mashrafe Mortaza (Ban)","39","37","25","4","2","156.00","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"Shafiqullah (Afg)","39","-","42","1","3","92.85","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"Haris Sohail (Pak)","39","42","28","5","1","139.28","1","","v New Zealand","Sharjah","14 Dec 2014",""
"MJ Guptill (NZ)","39","90","48","7","0","81.25","2","","v Pakistan","Wellington","31 Jan 2015",""
"KC Sangakkara (SL)","39","48","38","5","0","102.63","2","","v New Zealand","Christchurch","14 Feb 2015",""
"RS Bopara (Eng)","38*","107","59","4","0","64.40","2","","v West Indies","North Sound","2 Mar 2014",""
"Hashmatullah Shaidi (Afg)","38*","-","67","4","0","56.71","2","","v Hong Kong","Kuala Lumpur","1 May 2014",""
"CJ Jordan (Eng)","38*","16","13","5","2","292.30","1","","v Sri Lanka","The Oval","22 May 2014",""
"Fawad Alam (Pak)","38*","118","73","3","0","52.05","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"Nasir Hossain (Ban)","38","71","43","4","0","88.37","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"HDRL Thirimanne (SL)","38","66","55","4","1","69.09","2","","v India","Fatullah","28 Feb 2014",""
"Sohaib Maqsood (Pak)","38","91","53","2","1","71.69","2","","v India","Dhaka","2 Mar 2014",""
"Q de Kock (SA)","38","54","38","5","0","100.00","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"A Balbirnie (Ire)","38","-","82","3","0","46.34","2","","v Scotland","Dublin","8 Sep 2014",""
"HM Amla (SA)","38","95","74","1","0","51.35","2","","v New Zealand","Mount Maunganui","21 Oct 2014",""
"E Chigumbura (Zim)","38","64","31","5","0","122.58","2","","v Bangladesh","Chittagong","23 Nov 2014",""
"KC Sangakkara (SL)","38","39","41","1","3","92.68","2","","v New Zealand","Hamilton","15 Jan 2015",""
"S Dhawan (India)","38","85","65","4","0","58.46","1","","v England","Perth","30 Jan 2015",""
"KS Williamson (NZ)","38","60","45","6","0","84.44","2","","v Scotland","Dunedin","17 Feb 2015",""
"MN Samuels (WI)","38","69","52","4","0","73.07","1","","v Pakistan","Christchurch","21 Feb 2015",""
"Samiullah Shenwari (Afg)","38","93","70","5","0","54.28","1","","v Sri Lanka","Dunedin","22 Feb 2015",""
"Fayyaz Ahmed (UAE)","37*","-","79","5","0","46.83","2","","v Hong Kong","Kuala Lumpur","4 May 2014",""
"JE Root (Eng)","37","86","48","2","0","77.08","2","","v West Indies","North Sound","28 Feb 2014",""
"Mohammad Nabi (Afg)","37","66","43","3","1","86.04","2","","v Sri Lanka","Dhaka","3 Mar 2014",""
"Irfan Ahmed (HK)","37","-","36","4","2","102.77","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"WTS Porterfield (Ire)","37","-","87","5","0","42.52","2","","v Sri Lanka","Dublin","6 May 2014",""
"IR Bell (Eng)","37","59","42","3","0","88.09","1","","v Sri Lanka","Birmingham","3 Jun 2014",""
"MDKJ Perera (SL)","37","32","25","4","2","148.00","2","","v South Africa","Hambantota","12 Jul 2014",""
"Mohammad Nabi (Afg)","37","61","31","1","2","119.35","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"Tamim Iqbal (Ban)","37","81","50","5","0","74.00","2","","v West Indies","St George's","22 Aug 2014",""
"AB de Villiers (SA)","37","42","25","5","1","148.00","1","","v New Zealand","Mount Maunganui","24 Oct 2014",""
"V Sibanda (Zim)","37","64","51","3","0","72.54","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"AD Mathews (SL)","37","64","45","3","0","82.22","1","","v England","Hambantota","3 Dec 2014",""
"SPD Smith (Aus)","37","62","47","2","1","78.72","2","","v England","Sydney","16 Jan 2015",""
"GJ Maxwell (Aus)","37","39","38","4","0","97.36","2","","v England","Hobart","23 Jan 2015",""
"CR Woakes (Eng)","37","54","42","2","0","88.09","2","","v Australia","Melbourne","14 Feb 2015",""
"DA Miller (SA)","36*","30","21","2","2","171.42","1","","v Sri Lanka","Colombo (RPS)","6 Jul 2014",""
"HDRL Thirimanne (SL)","36","56","49","4","0","73.46","1","","v South Africa","Pallekele","9 Jul 2014",""
"KC Sangakkara (SL)","36","41","23","6","0","156.52","2","","v South Africa","Hambantota","12 Jul 2014",""
"E Chigumbura (Zim)","36","89","58","3","0","62.06","2","","v South Africa","Bulawayo","17 Aug 2014",""
"JP Duminy (SA)","36","53","47","2","0","76.59","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"Misbah-ul-Haq (Pak)","36","65","51","3","0","70.58","2","","v Sri Lanka","Hambantota","26 Aug 2014",""
"SPD Smith (Aus)","36","72","62","2","0","58.06","1","","v South Africa","Harare","2 Sep 2014",""
"RR Rossouw (SA)","36","54","39","5","0","92.30","1","","v Zimbabwe","Harare","4 Sep 2014",""
"KJ O'Brien (Ire)","36","-","47","3","0","76.59","1","","v Scotland","Dublin","12 Sep 2014",""
"JE Root (Eng)","36","77","49","1","1","73.46","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"L Ronchi (NZ)","36","46","32","6","0","112.50","2","","v Pakistan","Sharjah","12 Dec 2014",""
"JF Mooney (Ire)","36","-","45","3","1","80.00","2","","v Scotland","Dubai (DSC)","12 Jan 2015",""
"PR Stirling (Ire)","36","-","24","5","1","150.00","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"IR Bell (Eng)","36","63","45","4","0","80.00","2","","v Australia","Melbourne","14 Feb 2015",""
"Haris Sohail (Pak)","36","60","48","3","0","75.00","2","","v India","Adelaide","15 Feb 2015",""
"CH Gayle (WI)","36","79","65","3","1","55.38","1","","v Ireland","Nelson","16 Feb 2015",""
"SR Thompson (Ire)","35*","-","36","4","0","97.22","2","","v Scotland","Dublin","8 Sep 2014",""
"DJ Bravo (WI)","35","-","29","5","1","120.68","2","","v Ireland","Kingston","23 Feb 2014",""
"Nawroz Mangal (Afg)","35","73","57","3","0","61.40","2","","v Pakistan","Fatullah","27 Feb 2014",""
"Naeem Islam (Ban)","35","57","51","2","0","68.62","2","","v Afghanistan","Fatullah","1 Mar 2014",""
"DPMD Jayawardene (SL)","35","49","41","4","0","85.36","2","","v England","The Oval","22 May 2014",""
"Sikandar Raza (Zim)","35","81","50","3","1","70.00","2","","v South Africa","Harare","29 Aug 2014",""
"S Dhawan (India)","35","51","35","6","1","100.00","1","","v West Indies","Dharamsala","17 Oct 2014",""
"TM Dilshan (SL)","35","-","30","7","0","116.66","1","","v India","Ahmedabad","6 Nov 2014",""
"Haseeb Amjad (HK)","35","-","39","2","2","89.74","1","","v P.N.G.","Townsville","8 Nov 2014",""
"AT Rayudu (India)","35","-","46","3","0","76.08","2","","v Sri Lanka","Hyderabad (Deccan)","9 Nov 2014",""
"AJ Finch (Aus)","35","72","40","4","1","87.50","1","","v South Africa","Perth","14 Nov 2014",""
"MS Wade (Aus)","35","83","40","2","0","87.50","1","","v South Africa","Perth","14 Nov 2014",""
"TM Dilshan (SL)","35","26","24","7","0","145.83","1","","v India","Ranchi","16 Nov 2014",""
"IR Bell (Eng)","35","36","35","3","0","100.00","2","","v Sri Lanka","Colombo (RPS)","26 Nov 2014",""
"TM Dilshan (SL)","35","43","31","6","0","112.90","1","","v England","Pallekele","10 Dec 2014",""
"LD Chandimal (SL)","35","60","31","4","0","112.90","1","","v England","Pallekele","13 Dec 2014",""
"Younis Khan (Pak)","35","61","39","4","1","89.74","1","","v New Zealand","Sharjah","14 Dec 2014",""
"JP Faulkner (Aus)","35","44","43","4","0","81.39","2","","v England","Hobart","23 Jan 2015",""
"DL Vettori (NZ)","35","51","30","6","0","116.66","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"RW Chakabva (Zim)","35","90","62","4","0","56.45","2","","v U.A.E.","Nelson","19 Feb 2015",""
"Shahid Afridi (Pak)","34*","33","18","2","3","188.88","2","","v India","Dhaka","2 Mar 2014",""
"MJ McClenaghan (NZ)","34*","63","43","4","0","79.06","2","","v South Africa","Mount Maunganui","24 Oct 2014",""
"JP Faulkner (Aus)","34*","30","19","6","0","178.94","2","","v South Africa","Melbourne","21 Nov 2014",""
"MDKJ Perera (SL)","34","38","33","6","0","103.03","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"AD Mathews (SL)","34","70","38","1","1","89.47","1","","v South Africa","Pallekele","9 Jul 2014",""
"D Ramdin (WI)","34","64","51","1","0","66.66","1","","v Bangladesh","St George's","22 Aug 2014",""
"Sarfraz Ahmed (Pak)","34","54","41","3","1","82.92","2","","v Australia","Sharjah","7 Oct 2014",""
"Sohaib Maqsood (Pak)","34","55","46","2","1","73.91","2","","v Australia","Abu Dhabi","12 Oct 2014",""
"TM Dilshan (SL)","34","41","33","6","0","103.03","2","","v India","Kolkata","13 Nov 2014",""
"AN Cook (Eng)","34","45","42","5","0","80.95","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"MM Ali (Eng)","34","33","32","4","2","106.25","2","","v Sri Lanka","Pallekele","13 Dec 2014",""
"TWM Latham (NZ)","34","68","48","3","0","70.83","2","","v Pakistan","Sharjah","14 Dec 2014",""
"CR Woakes (Eng)","34","48","37","2","0","91.89","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"DG Brownlie (NZ)","34","79","51","3","0","66.66","1","","v Pakistan","Abu Dhabi","19 Dec 2014",""
"LRPL Taylor (NZ)","34","96","69","2","0","49.27","1","","v Sri Lanka","Hamilton","15 Jan 2015",""
"MS Dhoni (India)","34","70","61","1","0","55.73","1","","v England","Brisbane","20 Jan 2015",""
"Krishna Chandran (UAE)","34","86","63","3","0","53.96","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"JP Duminy (SA)","33*","42","29","1","1","113.79","2","","v Australia","Harare","27 Aug 2014",""
"BA Stokes (Eng)","33*","35","23","3","2","143.47","1","","v India","Leeds","5 Sep 2014",""
"RA Jadeja (India)","33*","80","36","2","1","91.66","2","","v West Indies","Kochi","8 Oct 2014",""
"AB de Villiers (SA)","33*","60","37","4","0","89.18","1","","v New Zealand","Hamilton","27 Oct 2014",""
"Mominul Haque (Ban)","33*","38","23","3","0","143.47","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"Mahmudullah (Ban)","33*","33","26","5","0","126.92","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"SR Thompson (Ire)","33","-","34","3","0","97.05","1","","v West Indies","Kingston","23 Feb 2014",""
"MDKJ Perera (SL)","33","63","49","4","1","67.34","1","","v Afghanistan","Dhaka","3 Mar 2014",""
"HDRL Thirimanne (SL)","33","101","60","3","0","55.00","2","","v Bangladesh","Dhaka","6 Mar 2014",""
"NJ O'Brien (Ire)","33","-","39","5","0","84.61","2","","v Sri Lanka","Dublin","6 May 2014",""
"MW Machan (Scot)","33","50","38","4","0","86.84","2","","v England","Aberdeen","9 May 2014",""
"TM Dilshan (SL)","33","60","40","5","0","82.50","2","","v England","The Oval","22 May 2014",""
"Sikandar Raza (Zim)","33","60","40","5","0","82.50","2","","v Australia","Harare","25 Aug 2014",""
"JP Faulkner (Aus)","33","59","42","1","1","78.57","1","","v Pakistan","Abu Dhabi","12 Oct 2014",""
"Mushfiqur Rahim (Ban)","33","43","22","3","1","150.00","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"AD Mathews (SL)","33","23","24","1","3","137.50","1","","v England","Colombo (RPS)","26 Nov 2014",""
"Haris Sohail (Pak)","33","67","45","2","1","73.33","1","","v New Zealand","Sharjah","12 Dec 2014",""
"Mohammad Hafeez (Pak)","33","43","26","5","1","126.92","1","","v New Zealand","Sharjah","14 Dec 2014",""
"KC Sangakkara (SL)","33","51","50","3","0","66.00","1","","v England","Colombo (RPS)","16 Dec 2014",""
"NJ O'Brien (Ire)","33","-","61","1","1","54.09","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"AM Rahane (India)","33","60","40","1","1","82.50","1","","v England","Brisbane","20 Jan 2015",""
"RS Bopara (Eng)","33","116","59","1","0","55.93","2","","v Australia","Perth","1 Feb 2015",""
"L Ronchi (NZ)","32*","22","15","1","3","213.33","2","","v Sri Lanka","Nelson","20 Jan 2015",""
"Naeem Islam (Ban)","32","68","55","1","0","58.18","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"BRM Taylor (Zim)","32","38","26","5","0","123.07","2","","v Australia","Harare","31 Aug 2014",""
"GJ Bailey (Aus)","32","44","35","3","1","91.42","1","","v South Africa","Harare","2 Sep 2014",""
"EJG Morgan (Eng)","32","70","58","3","0","55.17","1","","v India","Birmingham","2 Sep 2014",""
"AT Rayudu (India)","32","72","54","3","0","59.25","1","","v West Indies","Delhi","11 Oct 2014",""
"Sarfraz Ahmed (Pak)","32","66","39","2","0","82.05","2","","v Australia","Abu Dhabi","12 Oct 2014",""
"DPMD Jayawardene (SL)","32","50","33","5","0","96.96","1","","v India","Ranchi","16 Nov 2014",""
"RW Chakabva (Zim)","32","58","53","2","0","60.37","2","","v Bangladesh","Chittagong","23 Nov 2014",""
"AN Cook (Eng)","32","47","49","3","1","65.30","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"AJ Finch (Aus)","32","49","32","3","0","100.00","2","","v England","Hobart","23 Jan 2015",""
"SP Patil (UAE)","32","59","38","4","0","84.21","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"PL Mommsen (Scot)","31*","-","29","3","1","106.89","2","","v Ireland","Dublin","12 Sep 2014",""
"A Balbirnie (Ire)","31*","-","50","3","0","62.00","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"Noor Ali Zadran (Afg)","31","53","35","6","0","88.57","1","","v India","Dhaka","5 Mar 2014",""
"SMA Priyanjan (SL)","31","-","44","4","0","70.45","1","","v Ireland","Dublin","6 May 2014",""
"EJG Morgan (Eng)","31","37","23","3","1","134.78","1","","v Scotland","Aberdeen","9 May 2014",""
"Gulbadin Naib (Afg)","31","46","41","3","0","75.60","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"SPD Smith (Aus)","31","36","19","4","0","163.15","1","","v South Africa","Harare","27 Aug 2014",""
"S Dhawan (India)","31","54","44","4","1","70.45","2","","v England","Leeds","5 Sep 2014",""
"L Siaka (PNG)","31","-","44","3","1","70.45","2","","v Hong Kong","Townsville","8 Nov 2014",""
"AM Rahane (India)","31","-","47","5","0","65.95","2","","v Sri Lanka","Hyderabad (Deccan)","9 Nov 2014",""
"F du Plessis (SA)","31","73","43","2","1","72.09","2","","v Australia","Perth","14 Nov 2014",""
"Mominul Haque (Ban)","31","74","46","2","0","67.39","1","","v Zimbabwe","Chittagong","21 Nov 2014",""
"MDKJ Perera (SL)","31","61","41","3","0","75.60","2","","v England","Colombo (RPS)","7 Dec 2014",""
"LRPL Taylor (NZ)","31","31","25","1","3","124.00","2","","v Pakistan","Sharjah","14 Dec 2014",""
"PL Mommsen (Scot)","31","-","40","5","0","77.50","1","","v Afghanistan","Abu Dhabi","14 Jan 2015",""
"D Ramdin (WI)","31","62","32","2","0","96.87","2","","v South Africa","Durban","16 Jan 2015",""
"DR Smith (WI)","31","57","28","3","1","110.71","2","","v South Africa","Centurion","28 Jan 2015",""
"BB McCullum (NZ)","31","34","27","5","1","114.81","1","","v Pakistan","Napier","3 Feb 2015",""
"BJ Haddin (Aus)","31","23","14","5","0","221.42","1","","v England","Melbourne","14 Feb 2015",""
"AN Cook (Eng)","30*","50","40","2","0","75.00","2","","v Sri Lanka","Manchester","28 May 2014",""
"P Utseya (Zim)","30*","43","28","2","1","107.14","2","","v Australia","Harare","31 Aug 2014",""
"KTGD Prasad (SL)","30*","-","28","4","0","107.14","1","","v India","Ahmedabad","6 Nov 2014",""
"BMAJ Mendis (SL)","30*","22","14","2","2","214.28","1","","v England","Colombo (RPS)","26 Nov 2014",""
"Sarfraz Ahmed (Pak)","30*","25","14","4","1","214.28","1","","v New Zealand","Sharjah","14 Dec 2014",""
"Mushfiqur Rahim (Ban)","30","48","37","3","0","81.08","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"Nasir Hossain (Ban)","30","65","49","1","0","61.22","1","","v Sri Lanka","Dhaka","6 Mar 2014",""
"Mahmudullah (Ban)","30","43","41","2","0","73.17","1","","v Sri Lanka","Dhaka","6 Mar 2014",""
"Irfan Ahmed (HK)","30","-","35","4","1","85.71","1","","v U.A.E.","Kuala Lumpur","4 May 2014",""
"AD Mathews (SL)","30","-","53","4","0","56.60","1","","v Ireland","Dublin","6 May 2014",""
"AD Mathews (SL)","30","66","35","2","0","85.71","1","","v England","Chester-le-Street","25 May 2014",""
"AD Mathews (SL)","30","50","30","4","0","100.00","1","","v England","Lord's","31 May 2014",""
"CJ Jordan (Eng)","30","44","42","3","0","71.42","1","","v Sri Lanka","Birmingham","3 Jun 2014",""
"TM Dilshan (SL)","30","65","24","5","0","125.00","2","","v South Africa","Hambantota","12 Jul 2014",""
"SMA Priyanjan (SL)","30","72","46","3","0","65.21","2","","v South Africa","Hambantota","12 Jul 2014",""
"Sikandar Raza (Zim)","30","43","24","7","0","125.00","1","","v South Africa","Bulawayo","21 Aug 2014",""
"Fawad Alam (Pak)","30","74","40","3","0","75.00","2","","v Sri Lanka","Hambantota","26 Aug 2014",""
"JC Tredwell (Eng)","30","22","18","4","1","166.66","1","","v India","Nottingham","30 Aug 2014",""
"RR Rossouw (SA)","30","31","25","6","0","120.00","2","","v Australia","Perth","16 Nov 2014",""
"Nasir Jamshed (Pak)","30","53","46","2","1","65.21","2","","v New Zealand","Abu Dhabi","17 Dec 2014",""
"KJ O'Brien (Ire)","30","-","35","2","1","85.71","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"DPMD Jayawardene (SL)","30","41","29","3","0","103.44","2","","v New Zealand","Dunedin","23 Jan 2015",""
"HDRL Thirimanne (SL)","30","69","41","4","0","73.17","1","","v New Zealand","Wellington","29 Jan 2015",""
"KD Mills (NZ)","30","28","17","2","1","176.47","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"DJG Sammy (WI)","30","37","28","3","1","107.14","1","","v Pakistan","Christchurch","21 Feb 2015",""
"AB de Villiers (SA)","30","47","38","3","0","78.94","2","","v India","Melbourne","22 Feb 2015",""
"MA Starc (Aus)","29*","59","46","0","2","63.04","1","","v South Africa","Harare","6 Sep 2014",""
"L Ronchi (NZ)","29*","29","19","4","0","152.63","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"AB de Villiers (SA)","29","55","41","3","0","70.73","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"JP Duminy (SA)","29","42","24","2","1","120.83","1","","v Sri Lanka","Hambantota","12 Jul 2014",""
"T Maruma (Zim)","29","80","49","1","1","59.18","2","","v Afghanistan","Bulawayo","24 Jul 2014",""
"Sikandar Raza (Zim)","29","41","32","4","0","90.62","2","","v South Africa","Harare","4 Sep 2014",""
"MS Dhoni (India)","29","63","42","1","1","69.04","2","","v England","Leeds","5 Sep 2014",""
"Asad Shafiq (Pak)","29","63","35","2","1","82.85","1","","v Australia","Dubai (DSC)","10 Oct 2014",""
"DA Warner (Aus)","29","58","27","5","0","107.40","2","","v Pakistan","Dubai (DSC)","10 Oct 2014",""
"TWM Latham (NZ)","29","52","38","5","0","76.31","1","","v South Africa","Mount Maunganui","21 Oct 2014",""
"NLTC Perera (SL)","29","46","27","4","0","107.40","2","","v India","Cuttack","2 Nov 2014",""
"Aizaz Khan (HK)","29","-","40","1","0","72.50","1","","v P.N.G.","Townsville","9 Nov 2014",""
"S Prasanna (SL)","29","-","32","2","1","90.62","1","","v India","Hyderabad (Deccan)","9 Nov 2014",""
"NLTC Perera (SL)","29","39","29","1","3","100.00","2","","v India","Kolkata","13 Nov 2014",""
"GJ Maxwell (Aus)","29","23","19","5","0","152.63","1","","v South Africa","Perth","14 Nov 2014",""
"Mirwais Ashraf (Afg)","29","-","34","2","0","85.29","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"Umar Akmal (Pak)","29","65","37","1","0","78.37","2","","v New Zealand","Abu Dhabi","17 Dec 2014",""
"DR Smith (WI)","29","73","38","3","0","76.31","2","","v South Africa","Durban","16 Jan 2015",""
"HDRL Thirimanne (SL)","29","62","43","2","0","67.44","2","","v New Zealand","Dunedin","25 Jan 2015",""
"CJ Anderson (NZ)","29","28","20","2","2","145.00","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"GD Elliott (NZ)","29","53","34","2","0","85.29","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"GD Elliott (NZ)","29","41","31","5","0","93.54","2","","v Scotland","Dunedin","17 Feb 2015",""
"Anamul Haque (Ban)","29","66","55","4","0","52.72","1","","v Afghanistan","Canberra","18 Feb 2015",""
"SCJ Broad (Eng)","28*","63","46","3","0","60.86","2","","v West Indies","North Sound","2 Mar 2014",""
"JP Duminy (SA)","28*","61","45","0","1","62.22","2","","v Zimbabwe","Bulawayo","21 Aug 2014",""
"AM Rahane (India)","28*","61","50","2","0","56.00","1","","v Australia","Sydney","26 Jan 2015",""
"Ahmed Shehzad (Pak)","28","62","37","4","0","75.67","2","","v Sri Lanka","Fatullah","25 Feb 2014",""
"S Dhawan (India)","28","50","44","5","0","63.63","2","","v Bangladesh","Fatullah","26 Feb 2014",""
"Skhawat Ali (HK)","28","-","54","5","0","51.85","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"JJ Atkinson (HK)","28","-","38","3","1","73.68","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"Khurram Khan (UAE)","28","-","37","0","0","75.67","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"TM Dilshan (SL)","28","33","23","5","0","121.73","2","","v England","Birmingham","3 Jun 2014",""
"Nasir Jamal (Afg)","28","45","49","1","0","57.14","2","","v Zimbabwe","Bulawayo","22 Jul 2014",""
"EJG Morgan (Eng)","28","56","45","3","0","62.22","2","","v India","Cardiff","27 Aug 2014",""
"IR Bell (Eng)","28","56","38","0","0","73.68","1","","v India","Nottingham","30 Aug 2014",""
"DM Bravo (WI)","28","66","45","2","1","62.22","1","","v India","Kochi","8 Oct 2014",""
"GJ Bailey (Aus)","28","102","68","3","0","41.17","2","","v Pakistan","Dubai (DSC)","10 Oct 2014",""
"WU Tharanga (SL)","28","79","53","3","0","52.83","2","","v India","Cuttack","2 Nov 2014",""
"AM Rahane (India)","28","33","24","6","0","116.66","1","","v Sri Lanka","Kolkata","13 Nov 2014",""
"F du Plessis (SA)","28","45","37","3","0","75.67","1","","v Australia","Melbourne","21 Nov 2014",""
"BRM Taylor (Zim)","28","62","40","5","0","70.00","2","","v Bangladesh","Dhaka","26 Nov 2014",""
"H Masakadza (Zim)","28","52","40","4","0","70.00","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"Mohammad Nabi (Afg)","28","-","30","1","1","93.33","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"Rohan Mustafa (UAE)","28","-","51","3","0","54.90","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"Saqlain Haider (UAE)","28","-","37","3","0","75.67","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"Ahmed Shehzad (Pak)","28","54","41","5","0","68.29","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"RS Bopara (Eng)","28","64","49","1","0","57.14","2","","v Sri Lanka","Pallekele","10 Dec 2014",""
"DPMD Jayawardene (SL)","28","31","22","5","0","127.27","1","","v England","Colombo (RPS)","16 Dec 2014",""
"MH Cross (Scot)","28","-","30","3","0","93.33","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
