"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"AB de Villiers (SA)","108","101","71","11","4","152.11","1","","v Sri Lanka","Hambantota","12 Jul 2014",""
"JE Root (Eng)","107","163","122","7","0","87.70","1","","v West Indies","North Sound","5 Mar 2014",""
"Q de Kock (SA)","107","168","123","14","0","86.99","1","","v Australia","Sydney","23 Nov 2014",""
"V Kohli (India)","107","168","126","8","0","84.92","1","","v Pakistan","Adelaide","15 Feb 2015",""
"MDKJ Perera (SL)","106","142","124","6","5","85.48","2","","v Bangladesh","Dhaka","22 Feb 2014",""
"MJ Lumb (Eng)","106","160","117","7","2","90.59","2","","v West Indies","North Sound","28 Feb 2014",""
"F du Plessis (SA)","106","141","98","11","1","108.16","2","","v Australia","Harare","27 Aug 2014",""
"AM Rahane (India)","106","121","100","10","4","106.00","2","","v England","Birmingham","2 Sep 2014",""
"LRPL Taylor (NZ)","105*","171","135","9","1","77.77","1","","v Pakistan","Dubai (DSC)","8 Dec 2014",""
"JE Root (Eng)","104*","159","117","7","1","88.88","2","","v Sri Lanka","Pallekele","10 Dec 2014",""
"GD Elliott (NZ)","104*","156","96","7","2","108.33","1","","v Sri Lanka","Dunedin","23 Jan 2015",""
"SPD Smith (Aus)","104","180","112","7","0","92.85","2","","v South Africa","Melbourne","21 Nov 2014",""
"DPMD Jayawardene (SL)","104","162","107","12","1","97.19","1","","v New Zealand","Christchurch","11 Jan 2015",""
"KC Sangakkara (SL)","103","145","84","12","1","122.61","2","","v India","Fatullah","28 Feb 2014",""
"Ahmed Shehzad (Pak)","103","152","123","12","1","83.73","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"Younis Khan (Pak)","103","199","117","4","2","88.03","2","","v New Zealand","Abu Dhabi","17 Dec 2014",""
"KS Williamson (NZ)","103","155","107","6","1","96.26","2","","v Sri Lanka","Nelson","20 Jan 2015",""
"Umar Akmal (Pak)","102*","122","89","7","3","114.60","1","","v Afghanistan","Fatullah","27 Feb 2014",""
"SPD Smith (Aus)","102*","168","95","6","1","107.36","2","","v England","Hobart","23 Jan 2015",""
"LRPL Taylor (NZ)","102*","111","70","13","2","145.71","1","","v Pakistan","Napier","3 Feb 2015",""
"HDRL Thirimanne (SL)","102","155","110","11","1","92.72","1","","v Pakistan","Fatullah","25 Feb 2014",""
"AJ Finch (Aus)","102","173","116","9","1","87.93","1","","v South Africa","Harare","27 Aug 2014",""
"HM Amla (SA)","102","168","115","9","0","88.69","2","","v Australia","Canberra","19 Nov 2014",""
"LMP Simmons (WI)","102","124","84","9","5","121.42","1","","v Ireland","Nelson","16 Feb 2015",""
"RD Berrington (Scot)","101*","-","126","8","1","80.15","1","","v Ireland","Dublin","10 Sep 2014",""
"HDRL Thirimanne (SL)","101","199","108","13","0","93.51","2","","v Pakistan","Dhaka","8 Mar 2014",""
"HM Amla (SA)","101","162","102","11","0","99.01","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"SPD Smith (Aus)","101","186","118","6","2","85.59","1","","v Pakistan","Sharjah","7 Oct 2014",""
"Shakib Al Hasan (Ban)","101","139","99","10","0","102.02","1","","v Zimbabwe","Chittagong","21 Nov 2014",""
"TM Dilshan (SL)","101","167","124","9","1","81.45","1","","v England","Colombo (RPS)","16 Dec 2014",""
"Anamul Haque (Ban)","100","156","132","6","4","75.75","1","","v Pakistan","Dhaka","4 Mar 2014",""
"SK Raina (India)","100","106","75","12","3","133.33","1","","v England","Cardiff","27 Aug 2014",""
"DPMD Jayawardene (SL)","100","148","120","8","1","83.33","2","","v Afghanistan","Dunedin","22 Feb 2015",""
"JC Buttler (Eng)","99","102","84","7","4","117.85","1","","v West Indies","North Sound","5 Mar 2014",""
"L Ronchi (NZ)","99","129","83","11","3","119.27","1","","v South Africa","Mount Maunganui","21 Oct 2014",""
"JWA Taylor (Eng)","98*","126","90","11","2","108.88","2","","v Australia","Melbourne","14 Feb 2015",""
"Amjad Ali (UAE)","98","-","107","11","1","91.58","2","","v Afghanistan","Kuala Lumpur","2 May 2014",""
"S Dhawan (India)","97*","132","81","11","4","119.75","2","","v England","Birmingham","2 Sep 2014",""
"DR Smith (WI)","97","141","97","11","2","100.00","2","","v India","Delhi","11 Oct 2014",""
"KS Williamson (NZ)","97","156","119","8","0","81.51","1","","v Pakistan","Abu Dhabi","19 Dec 2014",""
"KS Williamson (NZ)","97","141","95","8","2","102.10","1","","v Sri Lanka","Dunedin","25 Jan 2015",""
"F du Plessis (SA)","96","172","99","8","1","96.96","2","","v Australia","Harare","6 Sep 2014",""
"JF Mooney (Ire)","96","-","77","12","2","124.67","1","","v Scotland","Dublin","12 Sep 2014",""
"HJW Gardiner (Scot)","96","-","105","14","0","91.42","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
"AJ Finch (Aus)","96","161","127","5","2","75.59","2","","v India","Melbourne","18 Jan 2015",""
"LRPL Taylor (NZ)","96","141","102","7","2","94.11","1","","v Sri Lanka","Dunedin","25 Jan 2015",""
"Anamul Haque (Ban)","95","146","120","9","0","79.16","1","","v Zimbabwe","Dhaka","26 Nov 2014",""
"GJ Maxwell (Aus)","95","116","98","15","0","96.93","1","","v England","Perth","1 Feb 2015",""
"S Dhawan (India)","94","161","114","7","1","82.45","1","","v Sri Lanka","Fatullah","28 Feb 2014",""
"DPMD Jayawardene (SL)","94","103","82","9","3","114.63","1","","v New Zealand","Nelson","20 Jan 2015",""
"H Masakadza (Zim)","93","139","113","10","1","82.30","2","","v Afghanistan","Bulawayo","20 Jul 2014",""
"GJ Maxwell (Aus)","93","50","46","9","5","202.17","1","","v Zimbabwe","Harare","25 Aug 2014",""
"AD Mathews (SL)","93","160","115","8","0","80.86","1","","v Pakistan","Hambantota","26 Aug 2014",""
"AD Mathews (SL)","92*","-","101","10","1","91.08","1","","v India","Ahmedabad","6 Nov 2014",""
"PR Stirling (Ire)","92","115","84","9","3","109.52","2","","v West Indies","Nelson","16 Feb 2015",""
"S Dhawan (India)","91","-","79","8","1","115.18","2","","v Sri Lanka","Hyderabad (Deccan)","9 Nov 2014",""
"AB de Villiers (SA)","91","117","88","6","0","103.40","1","","v Australia","Melbourne","21 Nov 2014",""
"KC Sangakkara (SL)","91","171","123","10","0","73.98","1","","v England","Pallekele","10 Dec 2014",""
"Asghar Stanikzai (Afg)","90*","152","103","6","3","87.37","1","","v Bangladesh","Fatullah","1 Mar 2014",""
"E Chigumbura (Zim)","90","174","122","10","2","73.77","1","","v South Africa","Bulawayo","21 Aug 2014",""
"JWA Taylor (Eng)","90","150","109","6","2","82.56","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"Sohaib Maqsood (Pak)","89*","107","73","9","0","121.91","2","","v Sri Lanka","Hambantota","23 Aug 2014",""
"AB de Villiers (SA)","89*","121","85","9","0","104.70","2","","v New Zealand","Mount Maunganui","21 Oct 2014",""
"KA Pollard (WI)","89","119","70","5","6","127.14","2","","v Bangladesh","St George's","20 Aug 2014",""
"AD Mathews (SL)","89","113","85","9","2","104.70","1","","v Pakistan","Hambantota","23 Aug 2014",""
"MR Marsh (Aus)","89","108","83","7","4","107.22","1","","v Zimbabwe","Harare","25 Aug 2014",""
"HJW Gardiner (Scot)","89","-","98","10","0","90.81","2","","v Ireland","Dublin","12 Sep 2014",""
"DJG Sammy (WI)","89","88","67","9","4","132.83","1","","v Ireland","Nelson","16 Feb 2015",""
"LRPL Taylor (NZ)","88*","124","95","5","1","92.63","1","","v Pakistan","Abu Dhabi","19 Dec 2014",""
"IR Bell (Eng)","88*","108","91","8","0","96.70","2","","v India","Brisbane","20 Jan 2015",""
"TM Dilshan (SL)","88","152","101","7","0","87.12","1","","v England","Chester-le-Street","25 May 2014",""
"KC Sangakkara (SL)","88","144","84","9","0","104.76","2","","v South Africa","Colombo (RPS)","6 Jul 2014",""
"TM Dilshan (SL)","88","158","98","10","0","89.79","1","","v England","Colombo (RPS)","26 Nov 2014",""
"DJ Bravo (WI)","87*","151","91","8","1","95.60","1","","v England","North Sound","28 Feb 2014",""
"RA Jadeja (India)","87","87","68","9","2","127.94","2","","v England","Leeds","5 Sep 2014",""
"MR Marsh (Aus)","86*","69","51","5","7","168.62","1","","v South Africa","Harare","2 Sep 2014",""
"TM Dilshan (SL)","86","136","90","9","0","95.55","1","","v South Africa","Pallekele","9 Jul 2014",""
"KC Sangakkara (SL)","86","165","105","7","0","81.90","2","","v England","Colombo (RPS)","7 Dec 2014",""
"MW Machan (Scot)","86","-","120","4","0","71.66","1","","v Ireland","Dubai (DSC)","12 Jan 2015",""
"Mohammad Hafeez (Pak)","86","125","89","5","3","96.62","2","","v New Zealand","Napier","3 Feb 2015",""
"Khurram Khan (UAE)","85*","-","80","9","0","106.25","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"Haris Sohail (Pak)","85*","158","109","5","1","77.98","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"PJ Hughes (Aus)","85","144","92","7","1","92.39","1","","v South Africa","Harare","2 Sep 2014",""
"H Masakadza (Zim)","84","122","93","9","2","90.32","1","","v Afghanistan","Bulawayo","22 Jul 2014",""
"Q de Kock (SA)","84","91","75","7","2","112.00","2","","v Zimbabwe","Bulawayo","21 Aug 2014",""
"EC Joyce (Ire)","84","111","67","10","2","125.37","2","","v West Indies","Nelson","16 Feb 2015",""
"Najibullah Zadran (Afg)","83","-","50","7","6","166.00","1","","v Ireland","Dubai (DSC)","17 Jan 2015",""
"Samiullah Shenwari (Afg)","82*","-","68","9","2","120.58","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"Mahmudullah (Ban)","82*","178","112","6","0","73.21","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"SR Watson (Aus)","82","138","93","7","2","88.17","2","","v South Africa","Sydney","23 Nov 2014",""
"JWA Taylor (Eng)","82","163","122","4","0","67.21","2","","v India","Perth","30 Jan 2015",""
"Samiullah Shenwari (Afg)","81","94","69","10","1","117.39","1","","v Bangladesh","Fatullah","1 Mar 2014",""
"Javed Ahmadi (Afg)","81","-","89","7","3","91.01","1","","v Ireland","Dubai (DSC)","10 Jan 2015",""
"CJ Anderson (NZ)","81","121","96","11","1","84.37","2","","v Sri Lanka","Christchurch","11 Jan 2015",""
"AB de Villiers (SA)","81","158","94","6","0","86.17","1","","v West Indies","Durban","16 Jan 2015",""
"KC Sangakkara (SL)","81","106","66","7","2","122.72","2","","v New Zealand","Dunedin","25 Jan 2015",""
"TM Dilshan (SL)","81","137","98","5","1","82.65","1","","v New Zealand","Wellington","29 Jan 2015",""
"Q de Kock (SA)","80*","131","94","11","0","85.10","1","","v New Zealand","Hamilton","27 Oct 2014",""
"NJ O'Brien (Ire)","80*","-","106","3","2","75.47","2","","v Scotland","Dubai (DSC)","12 Jan 2015",""
"AB de Villiers (SA)","80","138","76","4","1","105.26","2","","v Australia","Perth","14 Nov 2014",""
"Anamul Haque (Ban)","80","145","110","5","1","72.72","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"JE Root (Eng)","80","142","99","5","0","80.80","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"H Masakadza (Zim)","80","98","74","8","2","108.10","2","","v South Africa","Hamilton","15 Feb 2015",""
"NJ O'Brien (Ire)","79*","90","60","11","0","131.66","2","","v West Indies","Nelson","16 Feb 2015",""
"BRM Taylor (Zim)","79","156","96","5","2","82.29","2","","v South Africa","Harare","4 Sep 2014",""
"L Ronchi (NZ)","79","120","83","7","1","95.18","2","","v South Africa","Mount Maunganui","24 Oct 2014",""
"S Dhawan (India)","79","-","80","7","1","98.75","2","","v Sri Lanka","Ahmedabad","6 Nov 2014",""
"Mohammad Shahzad (UAE)","79","-","97","10","1","81.44","2","","v Afghanistan","Dubai (CA)","30 Nov 2014",""
"AM Rahane (India)","79","90","60","7","3","131.66","1","","v South Africa","Melbourne","22 Feb 2015",""
"DPMD Jayawardene (SL)","77*","111","80","8","1","96.25","2","","v England","Colombo (RPS)","29 Nov 2014",""
"Anamul Haque (Ban)","77","141","106","5","3","72.64","1","","v India","Fatullah","26 Feb 2014",""
"Mohammad Nabi (Afg)","77","-","57","8","3","135.08","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"SPD Smith (Aus)","77","151","105","3","0","73.33","1","","v Pakistan","Abu Dhabi","12 Oct 2014",""
"Mushfiqur Rahim (Ban)","77","107","78","7","0","98.71","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"BB McCullum (NZ)","77","39","25","8","7","308.00","2","","v England","Wellington","20 Feb 2015",""
"SC Williams (Zim)","76*","110","65","7","1","116.92","2","","v U.A.E.","Nelson","19 Feb 2015",""
"KC Sangakkara (SL)","76","136","102","6","1","74.50","1","","v Afghanistan","Dhaka","3 Mar 2014",""
"Q de Kock (SA)","76","111","76","7","1","100.00","1","","v Zimbabwe","Harare","29 Aug 2014",""
"GJ Maxwell (Aus)","76","98","81","9","1","93.82","2","","v Pakistan","Dubai (DSC)","10 Oct 2014",""
"AJ Finch (Aus)","76","85","67","11","0","113.43","2","","v South Africa","Sydney","23 Nov 2014",""
"Tamim Iqbal (Ban)","76","126","98","7","1","77.55","1","","v Zimbabwe","Chittagong","23 Nov 2014",""
"Mohammad Hafeez (Pak)","76","149","92","9","1","82.60","1","","v New Zealand","Sharjah","12 Dec 2014",""
"KC Sangakkara (SL)","76","107","83","8","1","91.56","1","","v New Zealand","Nelson","20 Jan 2015",""
"MJ Guptill (NZ)","76","115","88","8","1","86.36","1","","v Pakistan","Napier","3 Feb 2015",""
"Misbah-ul-Haq (Pak)","76","118","84","9","1","90.47","2","","v India","Adelaide","15 Feb 2015",""
"Mohammad Hafeez (Pak)","75","130","117","3","2","64.10","2","","v India","Dhaka","2 Mar 2014",""
"DPMD Jayawardene (SL)","75","123","93","9","1","80.64","2","","v Pakistan","Dhaka","8 Mar 2014",""
"AB de Villiers (SA)","75","96","70","5","1","107.14","1","","v Sri Lanka","Colombo (RPS)","6 Jul 2014",""
"AD Mathews (SL)","75","85","68","9","1","110.29","2","","v India","Kolkata","13 Nov 2014",""
"CJ Anderson (NZ)","75","77","46","8","2","163.04","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"AD Mathews (SL)","74*","153","103","7","1","71.84","2","","v Bangladesh","Dhaka","6 Mar 2014",""
"Umar Akmal (Pak)","74","76","72","7","3","102.77","2","","v Sri Lanka","Fatullah","25 Feb 2014",""
"Fawad Alam (Pak)","74","130","70","4","2","105.71","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"D Ramdin (WI)","74","120","76","6","1","97.36","2","","v Bangladesh","St George's","20 Aug 2014",""
"Javed Ahmadi (Afg)","74","-","81","9","1","91.35","2","","v Scotland","Dubai (CA)","8 Jan 2015",""
"SK Raina (India)","74","78","56","5","3","132.14","1","","v Pakistan","Adelaide","15 Feb 2015",""
"SPD Smith (Aus)","73*","77","55","8","0","132.72","1","","v South Africa","Canberra","19 Nov 2014",""
"Misbah-ul-Haq (Pak)","73","128","84","4","2","86.90","2","","v Sri Lanka","Fatullah","25 Feb 2014",""
"AM Rahane (India)","73","158","83","7","1","87.95","2","","v Bangladesh","Fatullah","26 Feb 2014",""
"AM Rahane (India)","73","152","101","3","1","72.27","1","","v England","Perth","30 Jan 2015",""
"S Dhawan (India)","73","136","76","7","1","96.05","1","","v Pakistan","Adelaide","15 Feb 2015",""
"Mushfiqur Rahim (Ban)","72","146","113","8","0","63.71","2","","v West Indies","Basseterre","25 Aug 2014",""
"TM Dilshan (SL)","71","142","109","5","0","65.13","1","","v England","Lord's","31 May 2014",""
"SK Raina (India)","71","81","58","3","5","122.41","1","","v West Indies","Dharamsala","17 Oct 2014",""
"Mushfiqur Rahim (Ban)","71","83","56","6","1","126.78","1","","v Afghanistan","Canberra","18 Feb 2015",""
"KS Williamson (NZ)","70*","127","91","7","0","76.92","2","","v Pakistan","Sharjah","12 Dec 2014",""
"LMP Simmons (WI)","70","120","98","4","2","71.42","1","","v England","North Sound","2 Mar 2014",""
"Usman Ghani (Afg)","70","-","68","6","4","102.94","2","","v Hong Kong","Kuala Lumpur","1 May 2014",""
