"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"SR Watson","Australia","South Africa",40,4,1
"Tamim Iqbal","Bangladesh","Zimbabwe",40,2,1
"Shakib Al Hasan","Bangladesh","Zimbabwe",40,4,0
"AD Mathews","Sri Lanka","England",40,4,0
"MN Samuels","West Indies","South Africa",40,3,1
"JL Carter","West Indies","South Africa",40,3,1
"CJ Anderson","New Zealand","Sri Lanka",40,5,1
"D Ramdin","West Indies","South Africa",40,1,2
"SPD Smith","Australia","England",40,5,0
"BRM Taylor","Zimbabwe","South Africa",40,4,1
"E Chigumbura","Zimbabwe","Afghanistan",39,4,0
"SMA Priyanjan","Sri Lanka","Pakistan",39,8,0
"AD Mathews","Sri Lanka","New Zealand",39,5,1
"MJ Lumb","England","West Indies",39,3,0
"Shamsur Rahman","Bangladesh","Sri Lanka",39,6,0
"Amjad Ali","U.A.E","Hong Kong",39,4,0
"LD Chandimal","Sri Lanka","Ireland",39,3,0
"Nasir Jamal","Afghanistan","Zimbabwe",39,2,0
"JP Faulkner","Australia","South Africa",39,4,0
"SR Thompson","Ireland","Scotland",39,4,1
"Mashrafe Mortaza","Bangladesh","Zimbabwe",39,4,2
"Shafiqullah","Afghanistan","U.A.E.",39,1,3
"Haris Sohail","Pakistan","New Zealand",39,5,1
"MJ Guptill","New Zealand","Pakistan",39,7,0
"KC Sangakkara","Sri Lanka","New Zealand",39,5,0
"RS Bopara","England","West Indies",38,4,0
"Hashmatullah Shaidi","Afghanistan","Hong Kong",38,4,0
"CJ Jordan","England","Sri Lanka",38,5,2
"Fawad Alam","Pakistan","Sri Lanka",38,3,0
"Nasir Hossain","Bangladesh","Sri Lanka",38,4,0
"HDRL Thirimanne","Sri Lanka","India",38,4,1
"Sohaib Maqsood","Pakistan","India",38,2,1
"Q de Kock","South Africa","Zimbabwe",38,5,0
"A Balbirnie","Ireland","Scotland",38,3,0
"HM Amla","South Africa","New Zealand",38,1,0
"E Chigumbura","Zimbabwe","Bangladesh",38,5,0
"KC Sangakkara","Sri Lanka","New Zealand",38,1,3
"S Dhawan","India","England",38,4,0
"KS Williamson","New Zealand","Scotland",38,6,0
"MN Samuels","West Indies","Pakistan",38,4,0
"Samiullah Shenwari","Afghanistan","Sri Lanka",38,5,0
"Fayyaz Ahmed","U.A.E","Hong Kong",37,5,0
"JE Root","England","West Indies",37,2,0
"Mohammad Nabi","Afghanistan","Sri Lanka",37,3,1
"Irfan Ahmed","Honk Kong","Afghanistan",37,4,2
"WTS Porterfield","Ireland","Sri Lanka",37,5,0
"IR Bell","England","Sri Lanka",37,3,0
"MDKJ Perera","Sri Lanka","South Africa",37,4,2
"Mohammad Nabi","Afghanistan","Zimbabwe",37,1,2
"Tamim Iqbal","Bangladesh","West Indies",37,5,0
"AB de Villiers","South Africa","New Zealand",37,5,1
"V Sibanda","Zimbabwe","Bangladesh",37,3,0
"AD Mathews","Sri Lanka","England",37,3,0
"SPD Smith","Australia","England",37,2,1
"GJ Maxwell","Australia","England",37,4,0
"CR Woakes","England","Australia",37,2,0
"DA Miller","South Africa","Sri Lanka",36,2,2
"HDRL Thirimanne","Sri Lanka","South Africa",36,4,0
"KC Sangakkara","Sri Lanka","South Africa",36,6,0
"E Chigumbura","Zimbabwe","South Africa",36,3,0
"JP Duminy","South Africa","Zimbabwe",36,2,0
"Misbah-ul-Haq","Pakistan","Sri Lanka",36,3,0
"SPD Smith","Australia","South Africa",36,2,0
"RR Rossouw","South Africa","Zimbabwe",36,5,0
"KJ O'Brien","Ireland","Scotland",36,3,0
"JE Root","England","Sri Lanka",36,1,1
"L Ronchi","New Zealand","Pakistan",36,6,0
"JF Mooney","Ireland","Scotland",36,3,1
"PR Stirling","Ireland","Afghanistan",36,5,1
"IR Bell","England","Australia",36,4,0
"Haris Sohail","Pakistan","India",36,3,0
"CH Gayle","West Indies","Ireland",36,3,1
"SR Thompson","Ireland","Scotland",35,4,0
"DJ Bravo","West Indies","Ireland",35,5,1
"Nawroz Mangal","Afghanistan","Pakistan",35,3,0
"Naeem Islam","Bangladesh","Afghanistan",35,2,0
"DPMD Jayawardene","Sri Lanka","England",35,4,0
"Sikandar Raza","Zimbabwe","South Africa",35,3,1
"S Dhawan","India","West Indies",35,6,1
"TM Dilshan","Sri Lanka","India",35,7,0
"Haseeb Amjad","Honk Kong","P.N.G.",35,2,2
"AT Rayudu","India","Sri Lanka",35,3,0
"AJ Finch","Australia","South Africa",35,4,1
"MS Wade","Australia","South Africa",35,2,0
"TM Dilshan","Sri Lanka","India",35,7,0
"IR Bell","England","Sri Lanka",35,3,0
"TM Dilshan","Sri Lanka","England",35,6,0
"LD Chandimal","Sri Lanka","England",35,4,0
"Younis Khan","Pakistan","New Zealand",35,4,1
"JP Faulkner","Australia","England",35,4,0
"DL Vettori","New Zealand","Sri Lanka",35,6,0
"RW Chakabva","Zimbabwe","U.A.E.",35,4,0
"Shahid Afridi","Pakistan","India",34,2,3
"MJ McClenaghan","New Zealand","South Africa",34,4,0
"JP Faulkner","Australia","South Africa",34,6,0
"MDKJ Perera","Sri Lanka","South Africa",34,6,0
"AD Mathews","Sri Lanka","South Africa",34,1,1
"D Ramdin","West Indies","Bangladesh",34,1,0
"Sarfraz Ahmed","Pakistan","Australia",34,3,1
"Sohaib Maqsood","Pakistan","Australia",34,2,1
"TM Dilshan","Sri Lanka","India",34,6,0
"AN Cook","England","Sri Lanka",34,5,0
"MM Ali","England","Sri Lanka",34,4,2
"TWM Latham","New Zealand","Pakistan",34,3,0
"CR Woakes","England","Sri Lanka",34,2,0
"DG Brownlie","New Zealand","Pakistan",34,3,0
"LRPL Taylor","New Zealand","Sri Lanka",34,2,0
"MS Dhoni","India","England",34,1,0
"Krishna Chandran","U.A.E","Zimbabwe",34,3,0
"JP Duminy","South Africa","Australia",33,1,1
"BA Stokes","England","India",33,3,2
"RA Jadeja","India","West Indies",33,2,1
"AB de Villiers","South Africa","New Zealand",33,4,0
"Mominul Haque","Bangladesh","Zimbabwe",33,3,0
"Mahmudullah","Bangladesh","Zimbabwe",33,5,0
"SR Thompson","Ireland","West Indies",33,3,0
"MDKJ Perera","Sri Lanka","Afghanistan",33,4,1
"HDRL Thirimanne","Sri Lanka","Bangladesh",33,3,0
"NJ O'Brien","Ireland","Sri Lanka",33,5,0
"MW Machan","Scotland","England",33,4,0
"TM Dilshan","Sri Lanka","England",33,5,0
"Sikandar Raza","Zimbabwe","Australia",33,5,0
"JP Faulkner","Australia","Pakistan",33,1,1
"Mushfiqur Rahim","Bangladesh","Zimbabwe",33,3,1
"AD Mathews","Sri Lanka","England",33,1,3
"Haris Sohail","Pakistan","New Zealand",33,2,1
"Mohammad Hafeez","Pakistan","New Zealand",33,5,1
"KC Sangakkara","Sri Lanka","England",33,3,0
"NJ O'Brien","Ireland","Afghanistan",33,1,1
"AM Rahane","India","England",33,1,1
"RS Bopara","England","Australia",33,1,0
"L Ronchi","New Zealand","Sri Lanka",32,1,3
"Naeem Islam","Bangladesh","Sri Lanka",32,1,0
"BRM Taylor","Zimbabwe","Australia",32,5,0
"GJ Bailey","Australia","South Africa",32,3,1
"EJG Morgan","England","India",32,3,0
"AT Rayudu","India","West Indies",32,3,0
"Sarfraz Ahmed","Pakistan","Australia",32,2,0
"DPMD Jayawardene","Sri Lanka","India",32,5,0
"RW Chakabva","Zimbabwe","Bangladesh",32,2,0
"AN Cook","England","Sri Lanka",32,3,1
"AJ Finch","Australia","England",32,3,0
"SP Patil","U.A.E","Zimbabwe",32,4,0
"PL Mommsen","Scotland","Ireland",31,3,1
"A Balbirnie","Ireland","Afghanistan",31,3,0
"Noor Ali Zadran","Afghanistan","India",31,6,0
"SMA Priyanjan","Sri Lanka","Ireland",31,4,0
"EJG Morgan","England","Scotland",31,3,1
"Gulbadin Naib","Afghanistan","Zimbabwe",31,3,0
"SPD Smith","Australia","South Africa",31,4,0
"S Dhawan","India","England",31,4,1
"L Siaka","Papua New Guinea","Hong Kong",31,3,1
"AM Rahane","India","Sri Lanka",31,5,0
"F du Plessis","South Africa","Australia",31,2,1
"Mominul Haque","Bangladesh","Zimbabwe",31,2,0
"MDKJ Perera","Sri Lanka","England",31,3,0
"LRPL Taylor","New Zealand","Pakistan",31,1,3
"PL Mommsen","Scotland","Afghanistan",31,5,0
"D Ramdin","West Indies","South Africa",31,2,0
"DR Smith","West Indies","South Africa",31,3,1
"BB McCullum","New Zealand","Pakistan",31,5,1
"BJ Haddin","Australia","England",31,5,0
"AN Cook","England","Sri Lanka",30,2,0
"P Utseya","Zimbabwe","Australia",30,2,1
"KTGD Prasad","Sri Lanka","India",30,4,0
"BMAJ Mendis","Sri Lanka","England",30,2,2
"Sarfraz Ahmed","Pakistan","New Zealand",30,4,1
"Mushfiqur Rahim","Bangladesh","Sri Lanka",30,3,0
"Nasir Hossain","Bangladesh","Sri Lanka",30,1,0
"Mahmudullah","Bangladesh","Sri Lanka",30,2,0
"Irfan Ahmed","Honk Kong","U.A.E.",30,4,1
"AD Mathews","Sri Lanka","Ireland",30,4,0
"AD Mathews","Sri Lanka","England",30,2,0
"AD Mathews","Sri Lanka","England",30,4,0
"CJ Jordan","England","Sri Lanka",30,3,0
"TM Dilshan","Sri Lanka","South Africa",30,5,0
"SMA Priyanjan","Sri Lanka","South Africa",30,3,0
"Sikandar Raza","Zimbabwe","South Africa",30,7,0
"Fawad Alam","Pakistan","Sri Lanka",30,3,0
"JC Tredwell","England","India",30,4,1
"RR Rossouw","South Africa","Australia",30,6,0
"Nasir Jamshed","Pakistan","New Zealand",30,2,1
"KJ O'Brien","Ireland","Afghanistan",30,2,1
"DPMD Jayawardene","Sri Lanka","New Zealand",30,3,0
"HDRL Thirimanne","Sri Lanka","New Zealand",30,4,0
"KD Mills","New Zealand","Sri Lanka",30,2,1
"DJG Sammy","West Indies","Pakistan",30,3,1
"AB de Villiers","South Africa","India",30,3,0
"MA Starc","Australia","South Africa",29,0,2
"L Ronchi","New Zealand","Sri Lanka",29,4,0
"AB de Villiers","South Africa","Sri Lanka",29,3,0
"JP Duminy","South Africa","Sri Lanka",29,2,1
"T Maruma","Zimbabwe","Afghanistan",29,1,1
"Sikandar Raza","Zimbabwe","South Africa",29,4,0
"MS Dhoni","India","England",29,1,1
"Asad Shafiq","Pakistan","Australia",29,2,1
"DA Warner","Australia","Pakistan",29,5,0
"TWM Latham","New Zealand","South Africa",29,5,0
"NLTC Perera","Sri Lanka","India",29,4,0
"Aizaz Khan","Honk Kong","P.N.G.",29,1,0
"S Prasanna","Sri Lanka","India",29,2,1
"NLTC Perera","Sri Lanka","India",29,1,3
"GJ Maxwell","Australia","South Africa",29,5,0
"Mirwais Ashraf","Afghanistan","U.A.E.",29,2,0
"Umar Akmal","Pakistan","New Zealand",29,1,0
"DR Smith","West Indies","South Africa",29,3,0
"HDRL Thirimanne","Sri Lanka","New Zealand",29,2,0
"CJ Anderson","New Zealand","Sri Lanka",29,2,2
"GD Elliott","New Zealand","Sri Lanka",29,2,0
"GD Elliott","New Zealand","Scotland",29,5,0
"Anamul Haque","Bangladesh","Afghanistan",29,4,0
"SCJ Broad","England","West Indies",28,3,0
"JP Duminy","South Africa","Zimbabwe",28,0,1
"AM Rahane","India","Australia",28,2,0
"Ahmed Shehzad","Pakistan","Sri Lanka",28,4,0
"S Dhawan","India","Bangladesh",28,5,0
"Skhawat Ali","Honk Kong","Afghanistan",28,5,0
"JJ Atkinson","Honk Kong","Afghanistan",28,3,1
"Khurram Khan","U.A.E","Afghanistan",28,0,0
"TM Dilshan","Sri Lanka","England",28,5,0
"Nasir Jamal","Afghanistan","Zimbabwe",28,1,0
"EJG Morgan","England","India",28,3,0
"IR Bell","England","India",28,0,0
"DM Bravo","West Indies","India",28,2,1
"GJ Bailey","Australia","Pakistan",28,3,0
"WU Tharanga","Sri Lanka","India",28,3,0
"AM Rahane","India","Sri Lanka",28,6,0
"F du Plessis","South Africa","Australia",28,3,0
"BRM Taylor","Zimbabwe","Bangladesh",28,5,0
"H Masakadza","Zimbabwe","Bangladesh",28,4,0
"Mohammad Nabi","Afghanistan","U.A.E.",28,1,1
"Rohan Mustafa","U.A.E","Afghanistan",28,3,0
"Saqlain Haider","U.A.E","Afghanistan",28,3,0
"Ahmed Shehzad","Pakistan","New Zealand",28,5,0
"RS Bopara","England","Sri Lanka",28,1,0
"DPMD Jayawardene","Sri Lanka","England",28,5,0
"MH Cross","Scotland","Afghanistan",28,3,0
"RD Berrington","Scotland","Ireland",28,3,0
"PR Stirling","Ireland","Scotland",28,3,1
"JC Buttler","England","Australia",28,0,0
"BB McCullum","New Zealand","Sri Lanka",28,2,2
"MJ Guptill","New Zealand","Sri Lanka",28,4,0
"GD Elliott","New Zealand","Pakistan",28,0,2
"Soumya Sarkar","Bangladesh","Afghanistan",28,3,1
"Shahid Afridi","Pakistan","West Indies",28,4,0
"Mirwais Ashraf","Afghanistan","Sri Lanka",28,1,2
"JF Mooney","Ireland","Scotland",27,6,0
"HDRL Thirimanne","Sri Lanka","England",27,3,0
"AD Russell","West Indies","Ireland",27,3,1
"Asghar Stanikzai","Afghanistan","Sri Lanka",27,5,0
"DJ Bravo","West Indies","England",27,3,0
"Salman Faris","U.A.E","Afghanistan",27,3,0
"SK Raina","India","Bangladesh",27,3,0
"CA Pujara","India","Bangladesh",27,2,0
"Q de Kock","South Africa","Sri Lanka",27,3,1
"Mahmudullah","Bangladesh","West Indies",27,2,1
"WU Tharanga","Sri Lanka","Pakistan",27,5,0
"MR Marsh","Australia","South Africa",27,1,1
"AT Rayudu","India","Sri Lanka",27,3,0
"Mushfiqur Rahim","Bangladesh","Zimbabwe",27,1,1
"AR Berenger","U.A.E","Afghanistan",27,3,0
"AD Hales","England","Sri Lanka",27,2,1
"Shafiqullah","Afghanistan","U.A.E.",27,1,2
"DL Vettori","New Zealand","Pakistan",27,3,0
"NLTC Perera","Sri Lanka","England",27,4,1
"Shahid Afridi","Pakistan","New Zealand",27,1,3
"DPMD Jayawardene","Sri Lanka","New Zealand",27,5,0
"DJG Sammy","West Indies","South Africa",27,5,0
"SF Mire","Zimbabwe","South Africa",27,2,2
"Nawroz Mangal","Afghanistan","Bangladesh",27,1,0
"MN Samuels","West Indies","Ireland",26,4,1
"JC Buttler","England","Sri Lanka",26,1,1
"JP Faulkner","Australia","Pakistan",26,3,0
"Shaiman Anwar","U.A.E","Afghanistan",26,1,1
"AR Cusack","Ireland","Afghanistan",26,4,0
"Sharjeel Khan","Pakistan","Sri Lanka",26,4,1
"LD Chandimal","Sri Lanka","Afghanistan",26,1,0
"Mohammad Mithun","Bangladesh","India",26,5,0
"Tamim Iqbal","Bangladesh","West Indies",26,3,0
"Nasir Hossain","Bangladesh","West Indies",26,2,0
"KA Pollard","West Indies","Bangladesh",26,2,1
"Nasir Hossain","Bangladesh","West Indies",26,3,0
"DPMD Jayawardene","Sri Lanka","Pakistan",26,3,0
"BCJ Cutting","Australia","Zimbabwe",26,2,1
"H Masakadza","Zimbabwe","South Africa",26,0,1
"DM Bravo","West Indies","India",26,2,0
"Ahmed Shehzad","Pakistan","Australia",26,3,0
"RR Rossouw","South Africa","New Zealand",26,3,0
"Q de Kock","South Africa","New Zealand",26,3,0
"RW Chakabva","Zimbabwe","Bangladesh",26,2,0
"TM Dilshan","Sri Lanka","England",26,5,0
"Mohammad Nabi","Afghanistan","U.A.E.",26,1,0
"AP Devcich","New Zealand","Pakistan",26,2,0
"Sarfraz Ahmed","Pakistan","New Zealand",26,3,0
"LRPL Taylor","New Zealand","Pakistan",26,2,0
"Sarfraz Ahmed","Pakistan","New Zealand",26,2,0
"MN Samuels","West Indies","South Africa",26,4,0
"KS Williamson","New Zealand","Sri Lanka",26,4,0
"FDM Karunaratne","Sri Lanka","New Zealand",26,2,0
"MM Ali","England","Australia",26,5,0
"STR Binny","India","Bangladesh",25,4,0
"Samiullah Shenwari","Afghanistan","U.A.E.",25,1,1
"Saqib Ali","U.A.E","Afghanistan",25,4,0
"NL McCullum","New Zealand","Sri Lanka",25,1,0
"DJG Sammy","West Indies","South Africa",25,3,0
"Amjad Javed","U.A.E","Zimbabwe",25,3,1
"Shamsur Rahman","Bangladesh","Sri Lanka",25,2,0
"WTS Porterfield","Ireland","West Indies",25,2,2
"EC Joyce","Ireland","West Indies",25,2,0
"Sharjeel Khan","Pakistan","Afghanistan",25,2,1
"Sharjeel Khan","Pakistan","India",25,3,1
"SK Raina","India","Bangladesh",25,3,0
"SMA Priyanjan","Sri Lanka","South Africa",25,2,1
"N Madziva","Zimbabwe","South Africa",25,4,0
"KC Sangakkara","Sri Lanka","Pakistan",25,4,0
"H Masakadza","Zimbabwe","South Africa",25,3,1
"CS MacLeod","Scotland","Ireland",25,4,0
"GO Jones","Papua New Guinea","Hong Kong",25,1,0
"GJ Bailey","Australia","South Africa",25,2,0
"Samiullah Shenwari","Afghanistan","U.A.E.",25,3,0
"Usman Ghani","Afghanistan","Scotland",25,3,0
"BB McCullum","New Zealand","Sri Lanka",25,5,0
"JC Buttler","England","Australia",25,2,0
"Mohammed Shami","India","England",25,3,1
"JE Root","England","Australia",25,2,0
"AB de Villiers","South Africa","Zimbabwe",25,1,1
"Dawlat Zadran","Afghanistan","Zimbabwe",24,0,4
"DR Smith","West Indies","England",24,3,1
"Nawroz Mangal","Afghanistan","Bangladesh",24,3,0
"DJG Sammy","West Indies","England",24,2,1
"SMA Priyanjan","Sri Lanka","Bangladesh",24,3,0
"Nizakat Khan","Honk Kong","Afghanistan",24,1,0
"WU Tharanga","Sri Lanka","Ireland",24,3,0
"Shafiqullah","Afghanistan","Zimbabwe",24,1,2
"WD Parnell","South Africa","Zimbabwe",24,2,0
"Sohag Gazi","Bangladesh","West Indies",24,3,0
"HM Amla","South Africa","Australia",24,4,0
"R McLaren","South Africa","Australia",24,2,0
"AM Rahane","India","West Indies",24,4,0
"DG Brownlie","New Zealand","South Africa",24,2,1
"Waqas Barkat","Honk Kong","P.N.G.",24,3,0
"Saqib Ali","U.A.E","Afghanistan",24,3,0
"MW Machan","Scotland","Afghanistan",24,2,0
"DA Warner","Australia","India",24,3,0
"AD Russell","West Indies","South Africa",24,4,1
"GD Elliott","New Zealand","Sri Lanka",24,1,0
"SCJ Broad","England","Australia",24,2,2
"TM Dilshan","Sri Lanka","New Zealand",24,2,0
"F du Plessis","South Africa","Zimbabwe",24,0,1
"Javed Ahmadi","Afghanistan","Sri Lanka",24,4,0
"RS Bopara","England","West Indies",23,0,0
"Gulbadin Naib","Afghanistan","Zimbabwe",23,2,0
"MG Johnson","Australia","South Africa",23,1,2
"Imran Tahir","South Africa","Zimbabwe",23,3,0
"BJ Haddin","Australia","Pakistan",23,3,0
"Mohammad Naveed","U.A.E","Zimbabwe",23,1,2
"Sohag Gazi","Bangladesh","Sri Lanka",23,0,3
"Mominul Haque","Bangladesh","India",23,4,0
"Mushfiqur Rahim","Bangladesh","Afghanistan",23,1,0
"AM Rahane","India","Pakistan",23,3,0
"KD Karthik","India","Pakistan",23,1,0
"JE Root","England","West Indies",23,2,0
"MN Samuels","West Indies","England",23,0,2
"Rahmat Shah","Afghanistan","Hong Kong",23,3,0
"DW Steyn","South Africa","Sri Lanka",23,4,0
"KJ Abbott","South Africa","Zimbabwe",23,2,0
"BA Stokes","England","India",23,3,0
"FRJ Coleman","Scotland","Ireland",23,3,0
"AD Mathews","Sri Lanka","India",23,3,0
"TM Dilshan","Sri Lanka","England",23,4,0
"Mohammad Nabi","Afghanistan","U.A.E.",23,0,0
"L Ronchi","New Zealand","Pakistan",23,4,0
"Sarfraz Ahmed","Pakistan","New Zealand",23,0,0
"Asad Shafiq","Pakistan","New Zealand",23,1,0
"JC Buttler","England","Sri Lanka",23,2,0
"CJ Anderson","New Zealand","Pakistan",23,1,1
"HDRL Thirimanne","Sri Lanka","New Zealand",23,1,1
"BMAJ Mendis","Sri Lanka","New Zealand",23,2,1
"MH Cross","Scotland","Afghanistan",23,3,0
"AT Rayudu","India","England",23,2,0
"AT Rayudu","India","Australia",23,2,1
"DA Miller","South Africa","West Indies",23,2,2
"Haris Sohail","Pakistan","New Zealand",23,3,0
"TWM Latham","New Zealand","Pakistan",23,5,0
"MR Marsh","Australia","England",23,3,0
"WTS Porterfield","Ireland","West Indies",23,1,1
"Mahmudullah","Bangladesh","Afghanistan",23,0,0
"DR Smith","West Indies","Pakistan",23,4,0
"FDM Karunaratne","Sri Lanka","Afghanistan",23,3,0
"SMA Priyanjan","Sri Lanka","Bangladesh",22,4,0
"RA Jadeja","India","Sri Lanka",22,0,1
"Krishna Chandran","U.A.E","Afghanistan",22,2,0
"R McLaren","South Africa","Sri Lanka",22,2,0
"JP Duminy","South Africa","Zimbabwe",22,2,1
"JO Holder","West Indies","Bangladesh",22,3,0
"M Morkel","South Africa","Australia",22,3,0
"DA Miller","South Africa","Australia",22,3,0
"TWM Latham","New Zealand","Pakistan",22,4,0
"JH Davey","Scotland","Afghanistan",22,4,0
"KJ O'Brien","Ireland","West Indies",22,0,0
"AM Rahane","India","Sri Lanka",22,1,0
"Mohammad Shahzad","Afghanistan","India",22,2,1
"Shaiman Anwar","U.A.E","Hong Kong",22,2,1
"Nasir Hossain","Bangladesh","India",22,4,0
"HDRL Thirimanne","Sri Lanka","South Africa",22,1,0
"Rahmat Shah","Afghanistan","Zimbabwe",22,2,0
"Mohammad Nabi","Afghanistan","Zimbabwe",22,2,1
"E Chigumbura","Zimbabwe","South Africa",22,3,0
"Sikandar Raza","Zimbabwe","Australia",22,4,0
"AC Evans","Scotland","Ireland",22,2,0
"SR Thompson","Ireland","Scotland",22,3,0
"V Kohli","India","Sri Lanka",22,2,0
"Anshuman Rath","Honk Kong","P.N.G.",22,2,0
"GO Jones","Papua New Guinea","Hong Kong",22,2,0
"JJ Atkinson","Honk Kong","P.N.G.",22,2,0
"Imran Tahir","South Africa","Australia",22,4,0
"MR Marsh","Australia","South Africa",22,2,0
"F Behardien","South Africa","Australia",22,2,0
"AJ Finch","Australia","South Africa",22,2,0
"Sabbir Rahman","Bangladesh","Zimbabwe",22,3,0
"AN Cook","England","Sri Lanka",22,3,0
"KTGD Prasad","Sri Lanka","England",22,2,2
"RS Bopara","England","Sri Lanka",22,0,0
"JC Buttler","England","Sri Lanka",22,2,0
"KJ Coetzer","Scotland","Afghanistan",22,4,0
"NJ O'Brien","Ireland","Afghanistan",22,2,0
"MM Ali","England","Australia",22,2,1
"DA Warner","Australia","England",22,3,0
"Shahid Afridi","Pakistan","India",22,1,1
"AR Berenger","U.A.E","Zimbabwe",22,3,0
"MJ Guptill","New Zealand","England",22,3,0
"HM Amla","South Africa","India",22,2,0
"DA Miller","South Africa","India",22,2,0
"KD Karthik","India","Afghanistan",21,3,0
"TA Boult","New Zealand","South Africa",21,2,1
"JO Holder","West Indies","South Africa",21,2,0
"GD Elliott","New Zealand","Sri Lanka",21,1,1
"RG Sharma","India","Bangladesh",21,1,1
"Anwar Ali","Pakistan","Afghanistan",21,2,0
"Najibullah Zadran","Afghanistan","Bangladesh",21,2,0
"Noor Ali Zadran","Afghanistan","Sri Lanka",21,2,0
"Haseeb Amjad","Honk Kong","U.A.E.",21,1,2
"JC Buttler","England","Sri Lanka",21,1,0
"AB de Villiers","South Africa","Zimbabwe",21,0,2
"Mohammad Hafeez","Pakistan","Sri Lanka",21,3,0
"AD Poynter","Ireland","Scotland",21,1,0
"GJ Maxwell","Australia","Pakistan",21,1,0
"MG Johnson","Australia","Pakistan",21,4,0
"DA Warner","Australia","South Africa",21,3,1
"V Sibanda","Zimbabwe","Bangladesh",21,3,1
"JC Buttler","England","Sri Lanka",21,1,1
"GC Wilson","Ireland","Scotland",21,3,0
"Javed Ahmadi","Afghanistan","Scotland",21,3,0
"FDM Karunaratne","Sri Lanka","New Zealand",21,3,0
"EC Joyce","Ireland","Afghanistan",21,2,0
"KJ O'Brien","Ireland","Afghanistan",21,2,0
"TM Dilshan","Sri Lanka","New Zealand",21,3,0
"MN Samuels","West Indies","Ireland",21,1,1
"Mohammad Nabi","Afghanistan","Sri Lanka",21,2,1
"AD Mathews","Sri Lanka","Bangladesh",20,0,1
"BV Vitori","Zimbabwe","South Africa",20,2,2
"MG Johnson","Australia","Zimbabwe",20,2,1
"Fawad Alam","Pakistan","Australia",20,1,0
"Anwar Ali","Pakistan","New Zealand",20,3,0
"MJ Henry","New Zealand","Sri Lanka",20,2,0
"DJ Bravo","West Indies","England",20,1,0
"MJ Lumb","England","West Indies",20,2,1
"Shakib Al Hasan","Bangladesh","Sri Lanka",20,2,0
"JJ Atkinson","Honk Kong","U.A.E.",20,2,0
"E Chigumbura","Zimbabwe","Afghanistan",20,2,1
"CR Woakes","England","India",20,0,1
"MN Waller","Zimbabwe","South Africa",20,3,0
"GJ Maxwell","Australia","Pakistan",20,1,0
"DG Brownlie","New Zealand","South Africa",20,3,0
"F Behardien","South Africa","Australia",20,2,0
"KM Jadhav","India","Sri Lanka",20,3,0
"Gulbadin Naib","Afghanistan","U.A.E.",20,1,1
"Mirwais Ashraf","Afghanistan","U.A.E.",20,1,2
"Soumya Sarkar","Bangladesh","Zimbabwe",20,4,0
"Mohammad Naveed","U.A.E","Afghanistan",20,4,0
"AN Cook","England","Sri Lanka",20,3,0
"S Prasanna","Sri Lanka","England",20,1,2
"AD Mathews","Sri Lanka","England",20,1,0
"A Balbirnie","Ireland","Scotland",20,3,0
"GC Wilson","Ireland","Afghanistan",20,1,0
"GJ Maxwell","Australia","India",20,1,1
"MJ Guptill","New Zealand","Sri Lanka",20,1,1
"LRPL Taylor","New Zealand","Sri Lanka",20,3,0
"NLTC Perera","Sri Lanka","New Zealand",20,1,1
"MM Ali","England","New Zealand",20,4,0
"LD Chandimal","Sri Lanka","Pakistan",19,2,0
"NLTC Perera","Sri Lanka","Afghanistan",19,0,0
"HDRL Thirimanne","Sri Lanka","England",19,2,0
"MDKJ Perera","Sri Lanka","England",19,2,1
"MDKJ Perera","Sri Lanka","England",19,2,0
"LM Jongwe","Zimbabwe","South Africa",19,2,0
"Q de Kock","South Africa","Australia",19,2,0
"AN Cook","England","India",19,2,0
"J Anderson","Ireland","Scotland",19,1,0
"Mohammed Shami","India","West Indies",19,2,1
"Umar Amin","Pakistan","Australia",19,1,0
"JP Duminy","South Africa","New Zealand",19,2,0
"MS Wade","Australia","South Africa",19,2,0
"F du Plessis","South Africa","Australia",19,2,0
"RV Uthappa","India","Sri Lanka",19,2,0
"SR Watson","Australia","South Africa",19,2,0
"Samiullah Shenwari","Afghanistan","U.A.E.",19,1,0
"MM Ali","England","Sri Lanka",19,3,0
"JC Tredwell","England","Sri Lanka",19,0,1
"CJ Anderson","New Zealand","Pakistan",19,3,0
"MA Leask","Scotland","Afghanistan",19,2,1
"TM Dilshan","Sri Lanka","New Zealand",19,2,0
"AF Milne","New Zealand","Sri Lanka",19,0,0
"AD Russell","West Indies","South Africa",19,1,2
"MS Dhoni","India","Australia",19,2,0
"CH Gayle","West Indies","South Africa",19,2,1
"HDRL Thirimanne","Sri Lanka","New Zealand",19,1,0
"AB de Villiers","South Africa","West Indies",19,3,0
"Tamim Iqbal","Bangladesh","Afghanistan",19,2,0
"Afsar Zazai","Afghanistan","Sri Lanka",19,1,0
"RG Sharma","India","Afghanistan",18,1,0
"BAW Mendis","Sri Lanka","Ireland",18,3,0
"GH Dockrell","Ireland","Sri Lanka",18,0,0
"RM Haq","Scotland","England",18,2,0
"SK Raina","India","Sri Lanka",18,0,1
"WD Parnell","South Africa","Australia",18,1,0
"Dawlat Zadran","Afghanistan","U.A.E.",18,1,1
"JP Duminy","South Africa","West Indies",18,3,1
"HDRL Thirimanne","Sri Lanka","Bangladesh",18,2,0
"Mohammad Hafeez","Pakistan","Sri Lanka",18,2,0
